0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = [], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 30.000, try0 = true, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.by            0ms Ordered_Resolution_Prover.FO_Ordered_Resolution 43:1692  
0.sledgehammer goal.by        35359ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1020:38222  timeout (SH 35358ms): Timed out
0.sledgehammer goal.by         5252ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1022:38332  some (SH 5252ms, ATP 699ms): Try this: by blast (6 ms)
0.sledgehammer goal.proof     34449ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1024:38431  timeout (SH 34449ms): Timed out
0.sledgehammer goal.using      6597ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1030:38648  some (SH 6597ms, ATP 763ms): Try this: using \<eta>_p by blast (3 ms)
0.sledgehammer goal.by         5612ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1030:38658  some (SH 5612ms, ATP 821ms): Try this: by blast (4 ms)
0.sledgehammer goal.using     12708ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1032:38729  some (SH 12708ms, ATP 570ms): Try this: by (meson a(2) single_subset_iff) (10 ms)
0.sledgehammer goal.by         7725ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1032:38737  some (SH 7725ms, ATP 445ms): Try this: by (meson single_subset_iff) (25 ms)
0.sledgehammer goal.by        12129ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1033:38813  some (SH 12129ms, ATP 465ms): Try this: by simp (5 ms)
0.sledgehammer goal.proof     34629ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1036:38927  timeout (SH 34629ms): Timed out
0.sledgehammer goal.unfolding 37317ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1042:39140  some (SH 37317ms, ATP 2866ms): Try this: by (metis atms_of_def imageE) (292 ms)
0.sledgehammer goal.by         9567ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1042:39162  some (SH 9567ms, ATP 679ms): Try this: by blast (2 ms)
0.sledgehammer goal.using      9869ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1044:39221  some (SH 9869ms, ATP 395ms): Try this: using \<eta>_p_lit a(1) by blast (1 ms)
0.sledgehammer goal.by         5362ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1044:39237  some (SH 5362ms, ATP 374ms): Try this: by presburger (5 ms)
0.sledgehammer goal.using     11130ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1046:39298  some (SH 11130ms, ATP 615ms): Try this: by (metis L_p atm_of_subst_lit) (15 ms)
0.sledgehammer goal.unfolding  5047ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1046:39308  some (SH 5047ms, ATP 636ms): Try this: by (metis atm_of_subst_lit) (50 ms)
0.sledgehammer goal.by         7880ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1046:39332  some (SH 7880ms, ATP 526ms): Try this: by (metis \<open>L \<cdot>l (\<eta>0' # \<eta>s0') ! i = L \<cdot>l \<eta>\<close> atm_of_subst_lit) (63 ms)
0.sledgehammer goal.using     34633ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1050:39393  timeout (SH 34633ms): Timed out
0.sledgehammer goal.by        35695ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1050:39411  some (SH 35695ms, ATP 1128ms): Try this: by (metis D0'_subset_DA0' DA0'_split negs_As0'_subset_DA0' nth_Cons_0 subst_cls_union zero_less_Suc) (63 ms)
0.sledgehammer goal.using     18420ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1051:39440  some (SH 18419ms, ATP 850ms): Try this: by (metis D0'_D D0'_subset_DA0' \<eta>_p nth_Cons_0 zero_less_Suc) (15 ms)
0.sledgehammer goal.by        12519ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1051:39474  some (SH 12519ms, ATP 1646ms): Try this: by (metis nth_Cons_0 zero_less_Suc) (119 ms)
0.sledgehammer goal.proof     33024ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1053:39509  timeout (SH 33024ms): Timed out
0.sledgehammer goal.using      7343ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1055:39585  some (SH 7343ms, ATP 975ms): Try this: by (simp add: as_len n(3)) (1 ms)
0.sledgehammer goal.by         5971ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1055:39593  some (SH 5971ms, ATP 1089ms): Try this: using subst_atm_list_length by presburger (9 ms)
0.sledgehammer goal.proof     33627ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1059:39683  timeout (SH 33627ms): Timed out
0.sledgehammer goal.using     21256ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1062:39801  some (SH 21256ms, ATP 609ms): Try this: by (metis \<eta>_p_atm nth_Cons_0 zero_less_Suc) (12 ms)
0.sledgehammer goal.by        11817ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1062:39817  some (SH 11817ms, ATP 873ms): Try this: by (metis nth_Cons_0 zero_less_Suc) (85 ms)
0.sledgehammer goal.using     95380ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1064:39871  some (SH 95380ms, ATP 607ms): Try this: by (smt (z3) a image_eqI in_mono multiset.set_map neg_lit_in_atms_of negs_As0'_subset_DA0' nth_mem_mset set_mset_mono subst_atm_list_length) (192 ms)
0.sledgehammer goal.unfolding 23392ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1064:39899  some (SH 23392ms, ATP 1125ms): Try this: using DA0'_split a by fastforce (5 ms)
0.sledgehammer goal.using     96719ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1065:39929  some (SH 96719ms, ATP 669ms): Try this: by (metis a atms_of_def image_subset_iff multiset.set_map neg_lit_in_atms_of nth_mem_mset set_mset_mono subst_atm_list_length) (2.4 s)
0.sledgehammer goal.by        50462ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1065:39939  some (SH 50462ms, ATP 953ms): Try this: by (metis atms_of_def image_subset_iff multiset.set_map neg_lit_in_atms_of nth_mem_mset set_mset_mono subst_atm_list_length) (1.0 s)
0.sledgehammer goal.using      4692ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1067:40007  some (SH 4692ms, ATP 394ms): Try this: using A_eq by blast (0.6 ms)
0.sledgehammer goal.by         4187ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1067:40018  some (SH 4187ms, ATP 404ms): Try this: by presburger (1 ms)
0.sledgehammer goal.using     12871ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1069:40078  some (SH 12871ms, ATP 432ms): Try this: using As0'_As a by fastforce (24 ms)
0.sledgehammer goal.by         8101ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1069:40112  some (SH 8101ms, ATP 441ms): Try this: by force (15 ms)
0.sledgehammer goal.by         4940ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1074:40161  some (SH 4940ms, ATP 550ms): Try this: using local.select by blast (0.5 ms)
0.sledgehammer goal.using     39060ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1077:40216  some (SH 39060ms, ATP 829ms): Try this: by (metis As0'_As \<open>As0' \<cdot>al \<eta> = As\<close> \<open>S DA0' \<cdot> \<eta>0' = S_M S M DA\<close> as0' da mset_subst_atm_list_subst_atm_mset subst_cls_empty_iff subst_cls_negs) (92 ms)
0.sledgehammer goal.by        23460ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1077:40275  some (SH 23460ms, ATP 861ms): Try this: by auto (60 ms)
0.sledgehammer goal.using     35399ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1080:40367  some (SH 35398ms, ATP 2261ms): Try this: by (metis Suc_mono nth_Cons_Suc subset_mset.order_refl) (14 ms)
0.sledgehammer goal.by        36010ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1080:40375  some (SH 36010ms, ATP 4812ms): Try this: by (metis list.sel(3) not_less_eq nth_tl subset_mset.order_refl) (40 ms)
0.sledgehammer goal.using     35116ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1082:40431  some (SH 35116ms, ATP 488ms): Try this: by (metis CAs0'_CAs cas_len n(1,2) nth_equalityI subst_cls_list_length subst_cls_list_nth subst_cls_lists_nth) (176 ms)
0.sledgehammer goal.by        37532ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1082:40439  some (SH 37532ms, ATP 2100ms): Try this: by (metis CAs0'_CAs nth_equalityI subst_cls_list_length subst_cls_list_nth subst_cls_lists_nth) (62 ms)
0.sledgehammer goal.using      4936ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1084:40522  some (SH 4936ms, ATP 371ms): Try this: using CAs0'_CAs by order (3 ms)
0.sledgehammer goal.by         6366ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1084:40544  some (SH 6366ms, ATP 579ms): Try this: by order (4 ms)
0.sledgehammer goal.using     36953ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1087:40628  some (SH 36953ms, ATP 221ms): Try this: by (metis S.S_selects_subseteq not_less_eq nth_Cons_Suc) (16 ms)
0.sledgehammer goal.by        27665ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1087:40657  some (SH 27665ms, ATP 5000ms): Try this: by (metis list.sel(3) not_less_eq nth_tl) (81 ms)
0.sledgehammer goal.using     34985ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1089:40725  timeout (SH 34985ms): Timed out
0.sledgehammer goal.by        35655ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1089:40733  timeout (SH 35655ms): Timed out
0.sledgehammer goal.using      5267ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1091:40839  some (SH 5267ms, ATP 371ms): Try this: using \<open>map S CAs0' \<cdot>\<cdot>cl \<eta>s0' = map (S_M S M) CAs\<close> by order (2 ms)
0.sledgehammer goal.by         4395ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1091:40889  some (SH 4394ms, ATP 385ms): Try this: by argo (3 ms)
0.sledgehammer goal.proof     30563ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1094:40925  timeout (SH 30563ms): Timed out
0.sledgehammer goal.using      6230ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1096:41001  some (SH 6230ms, ATP 363ms): Try this: by (simp add: cs_len n(5)) (1 ms)
0.sledgehammer goal.by         4969ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1096:41009  some (SH 4969ms, ATP 357ms): Try this: using subst_cls_list_length by presburger (9 ms)
0.sledgehammer goal.proof     71935ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1100:41099  some (SH 71935ms, ATP 4461ms): Try this: by (metis Cs0'_Cs \<eta>_p \<open>\<forall>i<n. Cs0' ! i \<subseteq># CAs0' ! i\<close> list.sel(3) n(1,2,5) not_less_eq nth_tl subst_cls_list_length subst_cls_list_nth subst_cls_lists_nth) (155 ms)
0.sledgehammer goal.using      5606ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1103:41181  some (SH 5606ms, ATP 397ms): Try this: using n(5) by auto (2 ms)
0.sledgehammer goal.by         6994ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1103:41189  some (SH 6994ms, ATP 589ms): Try this: by force (38 ms)
0.sledgehammer goal.using      5290ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1105:41249  some (SH 5290ms, ATP 791ms): Try this: using Cs0'_Cs by fastforce (2 ms)
0.sledgehammer goal.by         8023ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1105:41267  some (SH 8023ms, ATP 1056ms): Try this: by argo (3 ms)
0.sledgehammer goal.using     37888ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1108:41365  some (SH 37888ms, ATP 4095ms): Try this: by (metis \<eta>_p a list.sel(3) n(1,2) not_less_eq nth_tl) (26 ms)
0.sledgehammer goal.by        17056ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1108:41377  some (SH 17056ms, ATP 1815ms): Try this: by (metis list.sel(3) n(1,2) not_less_eq nth_tl) (39 ms)
0.sledgehammer goal.using     12525ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1110:41446  some (SH 12525ms, ATP 538ms): Try this: by (simp add: \<eta>_p_CAs0' \<open>\<forall>i<n. Cs0' ! i \<subseteq># CAs0' ! i\<close> a n(5)) (6 ms)
0.sledgehammer goal.by         9580ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1110:41496  some (SH 9580ms, ATP 824ms): Try this: using subst_cls_list_nth by presburger (14 ms)
0.sledgehammer goal.using      9929ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1112:41572  some (SH 9929ms, ATP 595ms): Try this: using a n(2,5) subst_cls_lists_nth by presburger (6 ms)
0.sledgehammer goal.by         7300ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1112:41582  some (SH 7300ms, ATP 1000ms): Try this: using subst_cls_lists_nth by presburger (15 ms)
0.sledgehammer goal.by         5330ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1114:41649  some (SH 5330ms, ATP 451ms): Try this: by argo (2 ms)
0.sledgehammer goal.proof     31814ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1119:41713  timeout (SH 31814ms): Timed out
0.sledgehammer goal.using      6943ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1121:41792  some (SH 6943ms, ATP 391ms): Try this: by (simp add: aas_len n(4)) (1 ms)
0.sledgehammer goal.by         5823ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1121:41800  some (SH 5823ms, ATP 721ms): Try this: using length_subst_atm_mset_list by presburger (15 ms)
0.sledgehammer goal.proof     34605ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1125:41895  timeout (SH 34605ms): Timed out
0.sledgehammer goal.using      5565ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1128:41979  some (SH 5565ms, ATP 412ms): Try this: by (simp add: n(4)) (1 ms)
0.sledgehammer goal.by         8013ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1128:41987  some (SH 8013ms, ATP 511ms): Try this: by force (52 ms)
0.sledgehammer goal.using     11087ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1130:42100  some (SH 11087ms, ATP 552ms): Try this: using \<eta>_p_atm by blast (1 ms)
0.sledgehammer goal.by         6623ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1130:42116  some (SH 6623ms, ATP 810ms): Try this: by blast (12 ms)
0.sledgehammer goal.by         6236ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1132:42210  some (SH 6236ms, ATP 661ms): Try this: by simp (6 ms)
0.sledgehammer goal.using      5312ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1134:42291  some (SH 5312ms, ATP 436ms): Try this: using AAs0'_in_atms_of_CAs0' \<open>i < n\<close> by presburger (4 ms)
0.sledgehammer goal.unfolding  5349ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1134:42320  some (SH 5349ms, ATP 626ms): Try this: using \<open>i < n\<close> by presburger (3 ms)
0.sledgehammer goal.using      5735ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1135:42350  some (SH 5735ms, ATP 518ms): Try this: using \<open>i < n\<close> by presburger (7 ms)
0.sledgehammer goal.by         6212ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1135:42360  some (SH 6212ms, ATP 517ms): Try this: using \<open>i < n\<close> by blast (9 ms)
0.sledgehammer goal.unfolding 38420ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1137:42437  some (SH 38420ms, ATP 1275ms): Try this: by (metis \<eta>_p \<open>i < n\<close> literal.inject(1) multiset.inj_map_strong not_less_eq nth_Cons_Suc poss_AAs0'_subset_CAs0' subst_cls_poss) (804 ms)
0.sledgehammer goal.using     10013ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1137:42466  some (SH 10013ms, ATP 896ms): Try this: using A_eq by auto (21 ms)
0.sledgehammer goal.unfolding  8097ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1137:42477  some (SH 8097ms, ATP 1091ms): Try this: by fastforce (5 ms)
0.sledgehammer goal.by         7940ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1137:42506  some (SH 7940ms, ATP 1028ms): Try this: by force (11 ms)
0.sledgehammer goal.using     15268ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1139:42570  some (SH 15268ms, ATP 1389ms): Try this: using AAs0'_AAs \<open>i < n\<close> n(2,4) by fastforce (25 ms)
0.sledgehammer goal.by         8879ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1139:42625  some (SH 8879ms, ATP 450ms): Try this: by force (22 ms)
0.sledgehammer goal.proof     34720ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1147:42790  timeout (SH 34720ms): Timed out
0.sledgehammer goal.using     28571ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1149:42894  some (SH 28571ms, ATP 338ms): Try this: by (simp add: AAs0'_AAs \<open>As0' \<cdot>al \<eta> = As\<close> is_unifiers_mgu mgu) (29 ms)
0.sledgehammer goal.unfolding 24989ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1149:42925  some (SH 24988ms, ATP 128ms): Try this: by (simp add: AAs0'_AAs \<open>As0' \<cdot>al \<eta> = As\<close>) (98 ms)
0.sledgehammer goal.using     20807ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1149:42956  some (SH 20806ms, ATP 175ms): Try this: by (simp add: \<open>As0' \<cdot>al \<eta> = As\<close>) (52 ms)
0.sledgehammer goal.by        18145ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1149:42980  some (SH 18145ms, ATP 169ms): Try this: by simp (61 ms)
0.sledgehammer goal.proof     35914ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1151:43074  timeout (SH 35914ms): Timed out
0.sledgehammer goal.unfolding 35371ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1154:43211  timeout (SH 35371ms): Timed out
0.sledgehammer goal.using     34456ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1154:43261  timeout (SH 34456ms): Timed out
0.sledgehammer goal.by        48983ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1155:43309  some (SH 48983ms, ATP 1861ms): Try this: by (smt (z3) image_cong image_image list.set_map multiset.set_map) (690 ms)
0.sledgehammer goal.using     15749ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1157:43461  some (SH 15749ms, ATP 474ms): Try this: using map2_add_mset_map n(3,4) uu by presburger (4 ms)
0.sledgehammer goal.by        11250ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1157:43470  some (SH 11250ms, ATP 550ms): Try this: by (metis map2_add_mset_map n(3,4)) (17 ms)
0.sledgehammer goal.using      5331ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1159:43538  some (SH 5331ms, ATP 416ms): Try this: using is_unifiers_comp by blast (17 ms)
0.sledgehammer goal.by         4721ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1159:43561  some (SH 4721ms, ATP 452ms): Try this: by blast (5 ms)
0.sledgehammer goal.using     113583ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1163:43677  some (SH 113582ms, ATP 367ms): Try this: by (smt (cvc5, best) image_iff list.set_finite list.set_map mgu_complete multiset.set_finite) (392 ms)
0.sledgehammer goal.by        89930ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1164:43702  some (SH 89930ms, ATP 1016ms): Try this: by (smt (z3) finite_imageI image_def list.set_finite mem_Collect_eq multiset.set_finite) (944 ms)
0.sledgehammer goal.by        145478ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1166:43857  some (SH 145478ms, ATP 3096ms): Try this: by (smt (cvc5, quant_saturate) \<eta>\<sigma>uni finite_imageI image_def is_mgu_most_general list.set_finite mem_Collect_eq multiset.set_finite) (531 ms)
0.sledgehammer goal.using      5152ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1169:44072  some (SH 5152ms, ATP 493ms): Try this: using that by blast (4 ms)
0.sledgehammer goal.by         5627ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1169:44083  some (SH 5627ms, ATP 529ms): Try this: by blast (3 ms)
0.sledgehammer goal.proof     32804ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1174:44190  timeout (SH 32804ms): Timed out
0.sledgehammer goal.using      9129ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1177:44375  some (SH 9129ms, ATP 796ms): Try this: using eligible.simps local.eligible by presburger (11 ms)
0.sledgehammer goal.unfolding  6664ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1177:44390  some (SH 6664ms, ATP 921ms): Try this: using eligible.simps by blast (32 ms)
0.sledgehammer goal.by         5637ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1177:44415  some (SH 5637ms, ATP 621ms): Try this: by meson (4 ms)
0.sledgehammer goal.proof     36439ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1179:44449  timeout (SH 36439ms): Timed out
0.sledgehammer goal.using     84535ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1182:44577  some (SH 84535ms, ATP 1358ms): Try this: using as_len nz by auto (4 ms)
0.sledgehammer goal.by        20680ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1182:44585  some (SH 20679ms, ATP 1205ms): Try this: by (metis empty_iff image_mset_is_empty_iff length_greater_0_conv list.size(3) nth_mem set_mset_empty set_mset_mset) (40 ms)
0.sledgehammer goal.using      6440ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1184:44666  some (SH 6440ms, ATP 389ms): Try this: using DA0'_split as0' by argo (3 ms)
0.sledgehammer goal.by         4575ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1184:44688  some (SH 4575ms, ATP 393ms): Try this: by argo (2 ms)
0.sledgehammer goal.unfolding 12006ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1186:44728  some (SH 12006ms, ATP 751ms): Try this: using eligible.simps by presburger (6 ms)
0.sledgehammer goal.by         6357ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1186:44766  some (SH 6357ms, ATP 613ms): Try this: by force (3 ms)
0.sledgehammer goal.using     19571ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1191:44976  some (SH 19570ms, ATP 712ms): Try this: by (metis DA0'_split \<open>S DA0' \<cdot> \<eta> = S_M S M DA\<close> da subst_cls_empty_iff) (19 ms)
0.sledgehammer goal.by        11974ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1192:45110  some (SH 11974ms, ATP 716ms): Try this: by metis (65 ms)
0.sledgehammer goal.using      5970ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1194:45177  some (SH 5970ms, ATP 655ms): Try this: using as_len n(3) by argo (9 ms)
0.sledgehammer goal.by         6870ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1194:45201  some (SH 6870ms, ATP 781ms): Try this: using as_len n(3) by argo (4 ms)
0.sledgehammer goal.using     60400ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1196:45319  some (SH 60400ms, ATP 916ms): Try this: by (metis DA0'_DA DA0'_split One_nat_def \<open>As0' \<cdot>al \<eta> = As\<close> \<tau>\<phi>(2) da l subst_atm_list_comp_subst subst_atm_list_nth subst_cls_comp_subst zero_less_Suc) (168 ms)
0.sledgehammer goal.using     27171ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1196:45357  some (SH 27171ms, ATP 1493ms): Try this: using \<tau>\<phi>(2) by force (143 ms)
0.sledgehammer goal.by        19515ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1196:45368  some (SH 19515ms, ATP 1264ms): Try this: by (metis DA0'_DA DA0'_split One_nat_def da subst_atm_list_comp_subst subst_atm_list_nth subst_cls_comp_subst zero_less_Suc) (256 ms)
0.sledgehammer goal.by         8507ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1198:45470  some (SH 8507ms, ATP 713ms): Try this: by auto (20 ms)
0.sledgehammer goal.using      8425ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1200:45563  some (SH 8425ms, ATP 606ms): Try this: using maximal_wrt_subst by blast (7 ms)
0.sledgehammer goal.by         6738ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1200:45587  some (SH 6738ms, ATP 681ms): Try this: by blast (4 ms)
0.sledgehammer goal.unfolding  7628ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1202:45634  some (SH 7628ms, ATP 813ms): Try this: using eligible.simps by blast (15 ms)
0.sledgehammer goal.by         6920ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1202:45671  some (SH 6920ms, ATP 938ms): Try this: using One_nat_def by presburger (5 ms)
0.sledgehammer goal.proof     35469ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1209:45842  timeout (SH 35469ms): Timed out
0.sledgehammer goal.using      5185ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1211:45956  some (SH 5185ms, ATP 716ms): Try this: using \<open>As0' \<cdot>al \<eta> = As\<close> \<open>Cs0' \<cdot>cl \<eta> = Cs\<close> by force (3 ms)
0.sledgehammer goal.by         4897ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1211:45999  some (SH 4897ms, ATP 680ms): Try this: by meson (4 ms)
0.sledgehammer goal.using     30698ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1213:46101  some (SH 30698ms, ATP 2234ms): Try this: by (simp add: \<tau>\<phi>(2) n(3,5)) (47 ms)
0.sledgehammer goal.by        24445ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1213:46112  some (SH 24445ms, ATP 1589ms): Try this: by auto (389 ms)
0.sledgehammer goal.by         8383ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1215:46211  some (SH 8383ms, ATP 663ms): Try this: by auto (16 ms)
0.sledgehammer goal.using      7084ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1217:46301  some (SH 7084ms, ATP 630ms): Try this: using strictly_maximal_wrt_subst by blast (7 ms)
0.sledgehammer goal.by         6420ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1217:46337  some (SH 6420ms, ATP 725ms): Try this: by blast (8 ms)
0.sledgehammer goal.proof     32164ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1222:46447  timeout (SH 32164ms): Timed out
0.sledgehammer goal.by         4334ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1224:46528  some (SH 4334ms, ATP 478ms): Try this: using SCAs0'_\<eta>_fo_SMCAs by presburger (6 ms)
0.sledgehammer goal.using     35207ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1226:46651  timeout (SH 35207ms): Timed out
0.sledgehammer goal.by        34929ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1226:46659  timeout (SH 34929ms): Timed out
0.sledgehammer goal.using      7076ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1228:46722  some (SH 7076ms, ATP 844ms): Try this: using sel_empt by presburger (5 ms)
0.sledgehammer goal.by         6022ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1228:46786  some (SH 6021ms, ATP 795ms): Try this: by presburger (17 ms)
0.sledgehammer goal.using      9160ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1230:46844  some (SH 9160ms, ATP 1055ms): Try this: by auto (6 ms)
